waitlist,program,tools,exp.Rmodeling,gender,primaryeditor,exp.Rgraphics,exp.Radvanced,exp.documentation,exp.Matlab,exp.Github,GitHub,Excel,SQL,RStudio,ggplot2,shell,C,Python,LaTeX,grep,Sweave,XML,Web,dropbox,googledrive,SPSS,Stata,R,number_tools,experience
Yes,MS Stat,"RStudio, ggplot2, Python, LaTeX",Confident,Female,Rstudio,A little,A little,Confident,None,None,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,4,6
No,MS IDSE,"R, SQL, RStudio, ggplot2, shell (terminal / command line), SPSS, C/C++, Python, regular expressions (grep), XML, Web: html css js, dropbox, google drive (formerly docs)",Confident,Male,notepad++,Confident,A little,A little,A little,Confident,False,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,13,9
No,MS IDSE,"R, RStudio, C/C++, Python",Confident,Male,Rstudio,A little,A little,Confident,A little,A little,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,4,8
Yes,MS Stat,"Matlab, R, Excel, RStudio, SPSS, C/C++, Stata",Confident,Male,Rstudio,A little,A little,None,A little,None,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,7,5
No,Cert IDSE,"R, Excel, RStudio, dropbox, google drive (formerly docs)",A little,Male,Other,A little,None,None,None,A little,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,5,3
No,QMSS,"R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, LaTeX, regular expressions (grep), Sweave/knitr, XML, Web: html css js, dropbox, google drive (formerly docs)",Confident,Male,Sublime Text,Confident,Confident,A little,A little,Confident,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,16,10
No,MS IDSE,"R, Excel, RStudio, ggplot2, Python, Stata, LaTeX, dropbox, google drive (formerly docs)",Confident,Female,Rstudio,Confident,Confident,A little,A little,A little,False,True,False,True,True,False,False,True,True,False,False,False,False,True,True,False,True,True,9,9
No,Other Masters,"R, Excel, SQL, RStudio, Python, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,A little,Confident,None,None,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,7,6
Yes,Other Masters,"Matlab, R, Github, Excel, Python, Web: html css js",Confident,Female,Xcode,Confident,A little,A little,Confident,Confident,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,6,10
No,MS IDSE,"Matlab, R, Github, Excel, SQL, RStudio, shell (terminal / command line), C/C++, Python, LaTeX, XML, Web: html css js, dropbox, google drive (formerly docs)",Confident,Male,Sublime Text,Confident,A little,Expert,Confident,Confident,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,True,14,12
