"","waitlist","program","tools","exp.Rmodeling","gender","primaryeditor","exp.Rgraphics","exp.Radvanced","exp.documentation","exp.Matlab","exp.Github","GitHub","Excel","SQL","RStudio","ggplot2","shell","C","Python","LaTeX","grep","Sweave","XML","Web","dropbox","googledrive","SPSS","Stata","R","number_tools"
"69","No","Cert IDSE","R, Excel, SQL, dropbox, google drive (formerly docs)","Confident","Female","Rstudio","A little","A little","Confident","None","A little",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,5
"70","No","Cert IDSE","Excel, Python, google drive (formerly docs)","None","Male","Other","None","None","None","None","None",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3
"71","No","Cert IDSE","Github, Excel, SQL, shell (terminal / command line), C/C++, Python, regular expressions (grep), google drive (formerly docs)","None","Male","vi/vim","None","None","None","None","Confident",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8
"72","No","MS IDSE","R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), SPSS, Python, Stata, LaTeX, Sweave/knitr, Web: html css js, dropbox, google drive (formerly docs)","Expert","Male","Rstudio","Expert","Confident","Expert","Confident","Confident",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15
"73","No","Other PhD","R, Github, Excel, SQL, shell (terminal / command line), Python, LaTeX, Web: html css js, dropbox, google drive (formerly docs)","A little","Male","vi/vim","A little","None","None","None","Confident",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,10
"74","Yes","Other Masters","R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), LaTeX, regular expressions (grep), Sweave/knitr, dropbox, google drive (formerly docs)","Expert","Male","Rstudio","A little","A little","A little","None","A little",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,12
"75","No","Other Masters","Github, shell (terminal / command line), C/C++, Python, LaTeX","None","Male","Sublime Text","None","None","A little","None","Confident",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
"76","No","MS IDSE","R, Excel, SQL, RStudio, shell (terminal / command line), Python, LaTeX, dropbox, google drive (formerly docs)","A little","Male","Rstudio","A little","A little","Confident","None","None",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,9
"77","No","Cert IDSE","Excel, Python, dropbox, google drive (formerly docs)","Confident","Male","Sublime Text","None","A little","None","A little","A little",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4
"78","No","MS IDSE","R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, LaTeX, Web: html css js, dropbox, google drive (formerly docs)","Confident","Female","Sublime Text","None","A little","Confident","None","Confident",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,11
"79","No","MS IDSE","Matlab, R, Excel, RStudio, C/C++, Python","A little","Male","Rstudio","A little","A little","None","A little","None",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6
"80","Yes","Other Masters","Matlab, Excel, C/C++, Python","A little","Male","TextWrangler","A little","A little","A little","A little","A little",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
"81","Yes","MS Stat","R, Github","A little","Female","Rstudio","None","None","None","None","A little",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2
"82","No","Other Masters","R, Excel, RStudio, dropbox, google drive (formerly docs)","Confident","Female","Rstudio","A little","A little","None","None","None",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,5
"83","No","MS IDSE","Github, Excel, SQL, RStudio, shell (terminal / command line), Python, Web: html css js, dropbox, google drive (formerly docs)","A little","Male","Atom","A little","A little","A little","A little","A little",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,9
"84","No","MS IDSE","Excel, RStudio, Python, dropbox, google drive (formerly docs)","A little","Male","Rstudio","A little","A little","A little","A little","None",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,5
"85","No","MS IDSE","Matlab, Github, Excel, SQL, shell (terminal / command line), C/C++, Python, regular expressions (grep), XML, Web: html css js, dropbox, google drive (formerly docs)","None","Male","Other","None","None","None","Confident","A little",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,12
"86","No","MS IDSE","R, Github, Excel, SQL, RStudio, shell (terminal / command line), C/C++, Python, regular expressions (grep), XML, Web: html css js, dropbox, google drive (formerly docs)","Confident","Female","Sublime Text","None","None","Confident","Confident","Confident",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,13
"87","No","MS IDSE","Matlab, R","A little","Male","Rstudio","None","None","None","A little","None",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2
"88","No","Cert IDSE","Github, Excel, SQL, dropbox, google drive (formerly docs)","None","Female","notepad++","None","None","None","None","A little",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,5
"89","No","Cert IDSE","Excel, shell (terminal / command line), Python, google drive (formerly docs)","None","Male","Sublime Text","None","None","None","None","A little",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
"90","No","Cert IDSE","R, Excel, RStudio, dropbox, google drive (formerly docs)","Confident","Female","Rstudio","A little","A little","Confident","None","A little",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,5
"91","No","MS IDSE","Matlab, R, Excel, RStudio, Python, dropbox","Confident","Female","Rstudio","A little","None","A little","None","A little",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
"92","No","Cert IDSE","Github, Excel, SQL, RStudio, Python, dropbox, google drive (formerly docs)","A little","Male","Sublime Text","None","None","None","None","Confident",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,7
"93","No","MS IDSE","R, Github, Excel, SQL, RStudio, shell (terminal / command line), C/C++, LaTeX, regular expressions (grep), Sweave/knitr, XML, Web: html css js, dropbox, google drive (formerly docs)","A little","Male","Sublime Text","A little","A little","A little","None","Expert",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,14
"94","No","Cert IDSE","R, Github, Excel, RStudio, Python, google drive (formerly docs)","A little","Male","Other","A little","None","None","A little","A little",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,6
"95","No","Cert IDSE","SQL, shell (terminal / command line), C/C++, Python","A little","Male","vi/vim","None","None","None","A little","A little",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
"96","No","Cert IDSE","R, Excel, SQL, Python, Stata, LaTeX, Web: html css js, google drive (formerly docs)","A little","Male","notepad++","None","None","None","None","None",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,8
"97","No","Other PhD","R, Excel, RStudio, shell (terminal / command line), Python, Stata, regular expressions (grep), dropbox, google drive (formerly docs)","Confident","Female","TextMate","A little","A little","None","None","A little",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,9
"98","No","Cert IDSE","R, Excel, RStudio, ggplot2, Python, dropbox","Confident","Unknown","Rstudio","A little","A little","None","None","A little",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
"99","No","Cert IDSE","Matlab, R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, Stata, XML, dropbox, google drive (formerly docs)","A little","Male","Sublime Text","A little","A little","A little","Confident","Confident",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,12
"100","No","Cert IDSE","shell (terminal / command line), Python, regular expressions (grep), Web: html css js","A little","Male","Webstorm","None","None","None","None","Expert",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
"101","No","Other Masters","Matlab, R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, regular expressions (grep), Web: html css js, dropbox, google drive (formerly docs)","Confident","Male","Sublime Text","Confident","Confident","Confident","Confident","Confident",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,14
"102","No","MS IDSE","R, Excel, SQL, C/C++, dropbox, google drive (formerly docs)","A little","Male","notepad++","None","None","None","None","A little",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,6
"103","No","Other Masters","Matlab, R, Excel, SQL, RStudio, SPSS, Python, Stata, dropbox","Confident","Male","notepad++","Confident","Confident","Confident","Confident","A little",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,9
"104","No","MS IDSE","Matlab, R, Github, SQL, ggplot2, shell (terminal / command line), C/C++, Python, LaTeX, dropbox, google drive (formerly docs)","Confident","Male","Atom","A little","Confident","None","A little","Confident",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,11
"105","No","MS IDSE","R, Github, Excel, SQL, RStudio, Python","Confident","Male","Rstudio","A little","Confident","None","Confident","A little",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6
"106","No","MS IDSE","R, SQL, RStudio, shell (terminal / command line), Python","A little","Male","TextWrangler","A little","None","None","None","None",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5
"107","No","Other Masters","R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, lattice, Sweave/knitr","Confident","Male","Sublime Text","Confident","A little","Confident","None","A little",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,11
"108","No","Cert IDSE","R, Github, Excel, RStudio, regular expressions (grep), dropbox, google drive (formerly docs)","A little","Male","Rstudio","Confident","A little","Confident","A little","Confident",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,7
"109","No","MS IDSE","Matlab, R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, Stata, LaTeX, XML, Web: html css js, google drive (formerly docs)","Confident","Male","Rstudio","Confident","Confident","Confident","Confident","Confident",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,15
"110","No","MS IDSE","R, SQL, RStudio, Python","A little","Male","TextWrangler","A little","None","None","None","None",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4
"111","No","Other Masters","R, Github, RStudio","A little","Female","Rstudio","A little","None","A little","None","A little",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3
"112","No","Cert IDSE","Github, Excel, SQL, shell (terminal / command line), XML, Web: html css js","None","Female","Other","None","None","None","A little","A little",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
"113","No","MS IDSE","Python","A little","Male","Sublime Text","A little","None","A little","None","A little",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"114","No","MS IDSE","Matlab, SQL, shell (terminal / command line), Python, LaTeX, Web: html css js","Confident","Male","vi/vim","A little","A little","A little","Confident","A little",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
